Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Flexi Cap Fund - Regular Plan,20473.4,1.17,15,2.42,15,5.86,8,9.18,12,11.24,12,17.6,12,29.72,11,29.29,12,36.58,10,29.57,9,16.85,9,18.04,7,14.28,9,14.78,7,17.79,3,15.26,6,18.9,4,21.91,-,17.11,12
Axis Flexi Cap Fund - Regular Plan,12011.72,1.47,12,2.08,17,5.62,10,9.88,9,12.69,6,20.73,6,31.6,8,31.8,7,34.16,12,26.18,13,14.46,12,16.33,13,-,-,-,-,-,-,-,-,-,-,15.23,-,19.37,6
Bandhan Flexi Cap Fund - Regular Plan,6979.84,1.7,7,3.03,6,5.27,12,8.63,14,11.74,9,18.95,8,29.65,12,29.83,11,37.08,9,29.2,10,17.91,6,16.55,9,12.65,12,13.34,11,16.08,8,16.59,3,-,-,17.35,-,17.41,11
Canara Robeco Flexi Cap Fund - Regular Plan,12447.99,1.78,6,2.55,11,5.6,11,10.51,7,11.19,13,18.39,10,30.49,10,30.45,10,33.6,13,27.89,11,16.95,8,18.68,6,16.47,4,14.38,9,15.74,9,15.41,5,18.08,5,18.22,-,17.59,10
DSP Flexi Cap Fund,10558.54,2.14,2,3.33,1,7.25,3,12.08,1,16.3,1,18.76,9,30.53,9,30.52,9,39.75,8,33.53,5,17.74,7,19.92,4,16.53,3,15.31,6,16.84,6,15.6,4,19.93,2,19.55,-,18.07,8
Franklin India Flexi Cap Fund,15468.09,1.4,13,3.08,5,4.57,16,9.25,11,11.55,11,19.62,7,34.09,5,34.28,4,45.45,3,34.88,4,23.02,2,21.7,1,16.63,2,16.43,2,17.85,2,16.63,2,19.25,3,18.52,-,19.13,7
HDFC Flexi Cap Fund,54692.16,0.92,17,2.49,14,5.04,15,10.19,8,12.26,8,21.25,4,36.94,3,36.48,3,44.59,4,37.71,1,26.95,1,20.94,2,17.92,1,15.52,4,17.63,4,16.77,1,20.15,1,19.28,-,21,3
HSBC Flexi Cap Fund,4435.44,2.27,1,3.3,2,6.97,5,11.79,3,14.41,3,25.19,2,39.41,2,38.83,2,48.83,2,36.88,3,22.21,3,19.46,5,15.17,7,14.46,8,16.11,7,15.2,7,17.96,6,17.34,-,24.95,2
ICICI Prudential Flexicap Fund,14913.29,1.07,16,2.05,18,6.36,7,9.61,10,10.7,14,21.03,5,34.38,4,34.08,5,40.28,6,32.06,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.68,-,20.13,5
Kotak Flexicap Fund - Regular Plan,48469.47,1.79,5,2.54,13,3.5,18,10.6,6,13.22,5,21.54,3,32.95,6,32.89,6,40.06,7,32.06,7,19.16,4,17.57,8,15.18,6,16.14,3,17.91,1,-,-,-,-,15.28,-,20.37,4
Mirae Asset Flexi Cap Fund - Regular Plan,1874.54,0.61,18,2.32,16,4.44,17,8.53,16,10.31,15,16.43,13,27.12,13,26.84,14,33.53,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.65,-,15.88,13
Motilal Oswal Flexi Cap Fund - Regular Plan,10034.65,1.63,10,2.67,10,8.55,2,11.96,2,13.74,4,28.09,1,43.74,1,44.53,1,56.52,1,37.28,2,18.89,5,15.92,14,12.96,11,16.57,1,-,-,-,-,-,-,18.45,-,28.09,1
Nippon India Flexi Cap Fund - Regular Plan,7052.43,1.38,14,2.54,12,5.81,9,10.85,5,14.55,2,17.89,11,31.78,7,31.76,8,43.11,5,31.82,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.74,-,17.73,9
PGIM India Flexi Cap Fund - Regular Plan,5875.23,1.91,4,2.97,7,7.14,4,8.62,15,9.65,17,14.89,15,24.28,16,24.28,16,25.77,17,24.01,15,13.61,13,20.24,3,15.56,5,-,-,-,-,-,-,-,-,14.23,-,13.83,16
SBI Flexicap Fund,20647.58,1.63,9,2.69,9,5.25,13,8.18,17,9.98,16,15.42,14,25.94,15,25.69,15,30.19,15,25.42,14,15.91,11,16.44,12,14.19,10,15.37,5,17.09,5,14.32,9,-,-,13.5,-,14.95,14
Sundaram Flexi Cap Fund - Regular Plan,2064.78,1.49,11,2.8,8,5.07,14,7.71,18,8.66,18,13.02,17,23.56,17,23,17,28.68,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.13,-,12.21,17
Tata Flexi Cap Fund - Regular Plan,2732.29,2.06,3,3.18,4,6.58,6,8.79,13,11.58,10,14.74,16,26.27,14,26.87,13,35.2,11,26.95,12,16.53,10,16.51,10,-,-,-,-,-,-,-,-,-,-,15.34,-,14.51,15
UTI Flexi Cap Fund - Regular Plan,23972.31,1.67,8,3.18,3,9.27,1,11.65,4,12.44,7,11.63,18,19.52,18,19.44,18,22.45,18,19.5,16,9.49,14,16.49,11,14.38,8,13.46,10,15.38,10,15.17,8,16.98,7,12.86,-,10.22,18
