Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
Scheme,AUM(Rs Cr),1 Day,Rank,7 Days,Rank,14 Days,Rank,30 Days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,4 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,Inception,Rank,Avg.Maturity(Years)
Aditya Birla Sun Life Corporate Bond Fund - Regular Plan,22042.26,14.47,3,8.89,3,7.09,2,6.89,1,9.29,1,7.7,1,8.37,1,7.87,1,7.66,1,7.44,3,5.93,2,5.92,2,7.15,1,7.24,1,7.87,1,8.93,-,5.54
Aditya Birla Sun Life Retirement Fund - The 50s Plus - Debt Plan - Regular Plan,16.91,8.55,8,5.35,9,4.94,9,5.05,8,7.13,8,5.84,9,6.03,9,6.02,9,5.39,9,5.3,9,3.67,9,3.32,9,3.95,9,-,-,-,-,4.1,-,3.18
Axis Corporate Debt Fund - Regular Plan,5282.11,12.35,5,7.43,5,6.93,3,6.25,4,8.42,4,6.9,6,7.72,5,7.34,5,7.06,5,6.83,5,5.48,5,5.6,4,6.94,4,-,-,-,-,6.64,-,5.09
Bandhan Corporate Bond Fund - Regular Plan,13808.94,16.94,2,9.22,1,6.37,6,6.06,5,8.46,3,7.01,5,6.83,8,6.8,7,6.81,7,6.49,7,5.08,7,5.1,6,6.38,7,6.48,5,-,-,6.95,-,3.98
HDFC Corporate Bond Fund,28959.05,6.59,9,7.54,4,7.18,1,6.85,2,8.77,2,7.35,3,8.35,2,7.61,2,7.62,3,7.46,2,5.73,3,5.66,3,6.98,3,7.09,2,7.79,2,8.12,-,5.56
ICICI Prudential Corporate Bond Fund,27285.73,12.77,4,8.92,2,6.57,4,6.59,3,8.13,7,7.41,2,7.78,4,7.45,4,7.63,2,7.64,1,6.11,1,5.96,1,7.07,2,7.04,3,7.6,4,7.92,-,4.61
ICICI Prudential Retirement Fund - Pure Debt Plan,123.71,18.02,1,7.43,6,5.79,8,4.73,9,7.08,9,6.86,7,7.06,7,6.52,8,6.56,8,6.32,8,4.76,8,4.78,8,6.05,8,-,-,-,-,6.47,-,7.69
Kotak Corporate Bond Fund - Standard Plan,12541.1,8.69,7,6.63,8,5.9,7,5.86,7,8.23,5,7.22,4,7.9,3,7.55,3,7.29,4,6.93,4,5.6,4,5.53,5,6.52,5,6.85,4,7.78,3,7.67,-,5.19
SBI Corporate Bond Fund - Regular Plan,20025.72,11.28,6,7.3,7,6.48,5,6.04,6,8.17,6,6.83,8,7.44,6,7.07,6,6.87,6,6.56,6,5.22,6,4.96,7,6.41,6,-,-,-,-,6.74,-,4.5
