Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life India GenNext Fund - Direct Plan,5026.93,0.96,6,1.48,5,7.33,6,9.29,6,12.68,5,16.58,5,28.38,8,28.09,8,34.01,9,29.66,8,20.82,7,21.12,6,17.66,5,18.79,3,-,-,-,-,18.79,-,16.37,5
Baroda BNP Paribas India Consumption Fund - Direct Plan,1268.35,1.01,5,1.08,6,7.58,4,10.01,2,12.9,4,18.23,4,31.47,4,31.53,4,36.41,5,31.53,5,21.9,6,22.76,4,-,-,-,-,-,-,-,-,22.97,-,18.23,4
Canara Robeco Consumer Trends Fund - Direct Plan,1486.28,1.22,4,1.52,4,6.48,8,7.06,9,11.49,8,18.52,3,32.02,3,32.22,2,36.91,4,33.39,4,22.59,4,23.18,2,19.48,2,19.31,1,-,-,-,-,18.76,-,18.98,3
ICICI Prudential Bharat Consumption Fund - Direct Plan,2349.54,0.66,8,0.74,9,4.99,9,7.21,8,8.25,9,14.12,8,28.59,7,28.15,7,38.81,2,29.66,7,24.86,2,20.93,7,-,-,-,-,-,-,-,-,19.92,-,14.48,8
Mirae Asset Great Consumer Fund - Direct Plan,3409.2,1.61,2,2.1,2,7.89,2,9.9,4,13.49,3,16.24,6,30.74,5,30.62,6,36.41,6,34.2,2,24.16,3,22.85,3,19.64,1,19.21,2,-,-,-,-,19.62,-,15.83,6
Nippon India Consumption Fund - Direct Plan,833.95,0.9,7,1.04,7,6.64,7,10.04,1,14.2,1,20.17,2,33.52,1,33.62,1,42.41,1,34.81,1,26.58,1,26.17,1,18.52,3,15.9,5,-,-,-,-,15.9,-,20.97,1
Sundaram Consumption Fund - Direct Plan,1393.03,1.51,3,2.18,1,7.76,3,9.94,3,11.91,7,12.8,9,25.15,9,25.21,9,34.3,8,30.84,6,20.3,8,18.29,9,13.51,7,16.26,4,-,-,-,-,16.32,-,12.59,9
Tata India Consumer Fund - Direct Plan,1941.77,1.63,1,1.92,3,9.15,1,9.1,7,12.49,6,15.17,7,29.94,6,30.72,5,38.69,3,33.82,3,22.37,5,21.62,5,18.08,4,-,-,-,-,-,-,20.09,-,15.21,7
UTI India Consumer Fund - Direct Plan,602.97,0.51,9,0.99,8,7.43,5,9.5,5,13.56,2,20.54,1,32.06,2,32.05,3,35.42,7,27.66,9,18.35,9,18.42,8,14.22,6,12.84,6,-,-,-,-,13.49,-,19.92,2
